title,artist,duration,date,popularity,danceability,tempo
Sweet Lovin' - Radio Edit,Sigala,202213,9/28/18,65,0.68,124.942
Shivers (Dillon Francis Remix) [Main Mix],Ed Sheeran,127766,10/27/21,63,0.744,124.029
Sunshine - MOTi Remix,OneRepublic,188825,12/31/21,62,0.727,125.99
Wasted,Ti'sto,190013,6/13/14,63,0.638,112.014
Hello (feat. Dragonette),Martin Solveig,191387,12/14/10,62,0.666,128.005
You Got The Love (feat. Jules Buckley & The Heritage Orchestra) - Ti'sto Remix,Pete Tong,186190,5/20/22,61,0.566,126.097
Best Friend,Sofi Tukker,184880,4/13/18,59,0.699,102.023
I Found You (with Calvin Harris),benny blanco,189165,12/7/18,58,0.79,122.99
Wish You Well,Sigala,205653,5/24/19,64,0.669,124.975
Say So (Jax Jones Midnight Snack Remix),Doja Cat,210491,1/17/20,58,0.798,121.923
Conversations in the Dark - John Legend vs. David Guetta,John Legend,210236,2/14/20,57,0.572,127.19
Hypnotized,Purple Disco Machine,195704,10/15/21,55,0.691,108.074
Don't Start Now - Purple Disco Machine Remix,Dua Lipa,216774,1/10/20,55,0.766,123.979
Heat Waves - Oliver Heldens Remix,Glass Animals,243536,2/5/21,55,0.714,127.999
you broke me first - Gryffin Remix,Tate McRae,215648,6/1/20,53,0.57,124.035
I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,194754,6/14/19,53,0.748,122.036
Stereo Love - Radio Edit,Edward Maya,184000,2/2/10,52,0.773,127.056
Hallucinate - Paul Woolford Remix,Dua Lipa,238765,7/22/20,49,0.568,123.963
In The Dark,Purple Disco Machine,185564,1/21/22,45,0.695,115.936
Sweet Nothing (feat. Florence Welch),Calvin Harris,212560,10/29/12,72,0.573,127.934
It Ain't Me (with Selena Gomez),Kygo,220780,2/17/17,67,0.64,99.968
I'll Wait,Kygo,215360,4/3/20,65,0.611,122.983
"Carry On (from the Original Motion Picture ""POKEMON Detective Pikachu"")",Kygo,215315,4/19/19,65,0.591,121.799
One Last Time (with R3HAB) (feat. Enny-Mae),VIZE,155097,9/23/22,69,0.923,119.985
Celestial,Ed Sheeran,209026,9/29/22,78,0.574,123.038
Don't Cry,LODATO,191132,9/30/22,29,0.583,118.958
PCH (Pretty Cold Heart),Gia Woods,167571,9/29/22,37,0.728,140.036
Call It Love,Felix Jaehn,154560,9/16/22,73,0.616,110.029
Rode All Night,L'FREAQ,245449,9/29/22,27,0.568,115.037
2 Be Loved (Am I Ready) [PNAU Remix],Lizzo,222800,9/23/22,63,0.786,133.002
I Wanna,ella jane,210590,9/22/22,51,0.708,110.961
Woke Up in Love,Kygo,216873,9/9/22,80,0.643,106.015
See You In My Dreams,Daya,159608,9/16/22,59,0.596,128.006
Extremes,Alan Walker,149508,9/30/22,69,0.618,122.212
Rockstar Baby (feat. Mougleta),Robin Schulz,174858,9/23/22,63,0.689,123.029
1,Maude Latour,186810,9/30/22,53,0.63,122.201
Save Me (feat. Kiddo A.I.),Lost Kings,187747,9/16/22,58,0.729,123.997
Perfect Love (feat. Mila Falls),Tom Westy,163278,9/2/22,45,0.648,121.958
Million Dollar Baby,Ava Max,184294,9/1/22,79,0.667,133.039
From The Ashes (with Skylar Grey),ILLENIUM,253983,9/16/22,69,0.404,154.858
Frankenstein,Rina Sawayama,192072,9/16/22,66,0.51,176.846
Heartstrings,M-22,211359,9/9/22,63,0.614,124.902
Power (Remember Who You Are) - From The Flipper�۪s Skate Heist Short Film,SPINALL,205530,9/9/22,67,0.651,150.68
Deeper,Amari,161208,9/16/22,36,0.788,106.033
B.O.T.A. (Baddest Of Them All) - Edit,Eliza Rose,226626,8/12/22,88,0.736,137.001
Don't Hurt Me (What Is Love),Yves V,157000,8/19/22,65,0.758,125.007
I Remember,Cheat Codes,168117,8/26/22,75,0.57,100.052
Living Without You,Sigala,184103,9/2/22,74,0.57,125.003
Nothing's Perfect,NGHTMRE,186375,9/8/22,62,0.54,154.024
Who's Gonna Love You Tonight (with Tinashe),Snakehips,196535,9/9/22,61,0.519,90.999
Twennies,Dragonette,171880,9/7/22,45,0.684,103.949
party in my head (ur not invited),Alaina Castillo,183213,9/9/22,52,0.665,95.006
True (with Karen Harding),Jonasu,176557,9/2/22,53,0.673,122.037
Sad Girls (feat. Rema),Clean Bandit,163472,9/9/22,69,0.789,115.005
Uninvited,Dave Aud̩,208678,9/2/22,39,0.528,124.892
NO HAY LEY,Kali Uchis,157000,9/2/22,76,0.713,122.036
Always Be There,Jonas Blue,198407,9/2/22,68,0.702,123.999
MADELINE,INJI,204791,9/9/22,59,0.906,124.97
Sunroof - Loud Luxury Remix,Nicky Youre,173658,8/12/22,70,0.642,122.898
All That Really Matters,ILLENIUM,244235,7/29/22,71,0.352,169.965
I Just Want Your Touch,Jolyon Petch,176603,8/12/22,53,0.677,122.908
Make You Say,Zedd,206000,8/19/22,76,0.687,128.15
Shadow,Syn Cole,166572,8/26/22,60,0.786,123.951
Future In Your Hands (feat. Aloe Blacc),Sam Feldt,221500,8/26/22,63,0.635,120.086
HEARTBEAT,Isabel LaRosa,124959,8/26/22,63,0.542,120.879
2 Die 4,Tove Lo,185875,7/27/22,76,0.816,118.014
Black Mascara.,RAYE,241264,8/24/22,65,0.713,121.005
HISTORY,Joel Corry,176609,8/5/22,78,0.674,122.975
DON'T YOU WORRY,Black Eyed Peas,196363,6/17/22,85,0.816,131.958
Sun Will Shine,Robin Schulz,201700,7/29/22,72,0.534,125.99
Stranger,Keanu Silva,128000,8/18/22,65,0.724,120.042
Forever And A Day,LP Giobbi,166230,8/16/22,60,0.658,125.06
DNA,Craig David,177213,7/29/22,66,0.672,122.012
I Hope That It Hurts,Nicky Romero,160214,8/12/22,56,0.723,110.048
Bad Memories (feat. Elley Duh̩ & FAST BOY),MEDUZA,148629,7/22/22,85,0.607,123.998
Forgive Me (feat. Izzy Bizu),ODESZA,208017,7/22/22,67,0.663,104.985
Animal,Mabel,181760,7/15/22,49,0.486,126.088
Lost Without You (with Dean Lewis),Kygo,203609,7/8/22,75,0.621,117.887
Hot In It,Ti'sto,129817,6/30/22,84,0.748,123.045
Heavy Metal Love,twocolors,132000,7/8/22,68,0.768,125.029
Hypnotized,Sophie Ellis-Bextor,182799,7/6/22,53,0.678,129.961
Trouble (with Georgia Ku),Jonasu,139672,7/8/22,52,0.749,121.935
Numb,Marshmello,155588,6/10/22,88,0.912,119.966
Never Really Loved Me (with Dean Lewis),Kygo,202158,7/1/22,74,0.614,117.94
Barricades (with Rita Ora),Netsky,154222,6/22/22,56,0.648,149.791
Massive,Drake,336924,6/17/22,80,0.499,124.994
Belly Dancer,Imanbek,151475,2/18/22,88,0.845,121.985
Somebody Like U,Alan Walker,191098,6/17/22,69,0.616,124.957
All Day (feat. Non̫),Welshy,182653,3/4/22,65,0.713,124.036
Moonlight,Madison Rose,190423,5/27/22,35,0.669,117.986
Stay the Night,Sigala,171954,5/20/22,78,0.636,124.034
Away,Son&Dad,167537,12/18/20,38,0.717,128.95
Mood (feat. iann dior),24kGoldn,140525,7/24/20,14,0.7,90.989
Chasing Dreams,Filip Nordin,158373,2/5/21,37,0.604,140.941
Change For You,PW Music,180150,6/3/22,36,0.669,100.19
Saturday Night,Polar Gang,145116,2/26/21,37,0.631,128.976
MONTERO (Call Me By Your Name),Lil Nas X,137704,9/17/21,83,0.593,178.781
Running Up That Hill (A Deal With God),Kate Bush,298933,1985,92,0.629,108.375
Only You and Me,Mike Kelly,151200,1/7/22,32,0.763,100.013
STAY (with Justin Bieber),The Kid LAROI,141805,7/23/21,87,0.591,169.928
Hurricane,Matt Palmer,174754,8/26/22,30,0.79,121.971
Miss You,Zanoii,120975,8/26/22,30,0.778,123.023
Shivers,Ed Sheeran,207853,9/10/21,20,0.788,141.02
Salt,Ava Max,180283,12/12/19,2,0.693,128.057
Light Switch,Charlie Puth,185680,1/20/22,82,0.69,184.009
Open Up,VAMERO,156200,9/16/22,59,0.747,120.056
Not Afraid,Etheris,169428,8/26/22,28,0.612,104.898
Won't Get This Back,Zanoii,193170,8/5/22,31,0.8,122.997
Alien,Don Bnnr,129313,7/15/22,28,0.648,155.004
Stay,DJ Frisbee,139354,9/9/22,31,0.731,124.055
Let Me Go,Zanoii,121846,3/18/22,27,0.615,129.819
Girl,Rub̩n Guerin,161250,9/30/22,22,0.823,127.979
Edge,mavzy grx,173333,4/29/22,30,0.702,125.917
The Tide,Elyji,162000,6/10/22,28,0.677,119.985
Narcissist,Denis Coleman,174997,5/20/22,39,0.757,126.021
Mansion,Dari,200625,7/15/22,27,0.535,128.1
That Love Didn't Last,Janji Yusuf,186967,8/19/22,26,0.908,122.013
Summer Lover,Lazy Panda,133242,2/11/22,28,0.661,128.007
Be Mine,Zanoii,181874,4/1/22,25,0.672,128.036
Cathedral (Piece Of Me) [feat. JEN],Sevek,148809,9/16/22,51,0.802,126.101
Frozen River (feat. Jessica Chertock),Hard Lights,141101,9/23/22,49,0.639,103.748
Never Letting Go,Albi,165212,9/1/22,49,0.753,125.028
Bad Habits,Ed Sheeran,231041,6/25/21,19,0.808,126.026
Harley & Joker,PW Music,144857,7/1/22,31,0.611,139.924
Waiting for You,Mike Kelly,150072,12/31/21,25,0.709,103.988
Country Girl,Polar Gang,166829,12/23/20,27,0.707,122.98
Edge of Seventeen,John Gibbons,177585,5/20/22,52,0.633,122.968
Easy,PW Music,155538,6/3/22,25,0.724,79.994
Ghosts,Jonny Gr̦nholm,176250,6/10/22,25,0.616,127.9
rally,Son&Dad,134198,3/5/21,26,0.725,130.96
Satisfy Me,Alex Hobson,161320,5/27/22,57,0.754,124.993
Be Someone,LeDoc,154000,4/29/22,33,0.734,119.949
Chemistry,Matt Palmer,169436,4/8/22,26,0.757,109.999
Pretty Girl,mavzy grx,145655,4/15/22,24,0.486,144.974
Golden State Of Mind,PW Music,165957,6/3/22,24,0.718,93.959
HELL YEAH,USNA,171627,5/27/22,28,0.646,144.069
I Want You Back,Mike Kelly,198857,4/22/22,25,0.751,105.022
Like This,AlaX,146666,5/6/22,23,0.569,126.065
Damaged,Brod-Sky,156586,7/1/22,23,0.614,127.973
Don't Ask Me Why,PW Music,149032,6/3/22,23,0.66,123.974
Don't Worry,Etheris,145792,4/15/22,23,0.512,178.015
Remedy,Sirona,148320,4/1/22,40,0.71,124.987
Wild & Free,Caj Morgan,200157,1/15/21,24,0.541,131.974
Lean On (feat. M�� & DJ Snake),Major Lazer,176561,11/27/15,74,0.723,98.007
Bananza (Belly Dancer),Movada,132971,2/11/22,36,0.779,124.951
Nothing,Disco Fries,166095,5/20/22,35,0.68,125.034
We Always Rise,PW Music,207360,6/3/22,22,0.808,125.027
Old-School Soul,HYPAUX,171270,8/5/22,42,0.759,122.012
Don't Want,RAY ISAAC,175537,3/18/22,22,0.719,126.035
Your Heart Is in Debt,DUCO,149772,4/15/22,35,0.572,170.051
You,Rafiction,175616,2/25/22,23,0.682,107.965
You Don't Know,PW Music,161884,6/3/22,22,0.757,125.977
Morning Light - Kayote Remix,Dion Isaiah,130000,11/12/21,38,0.721,119.817
Selfish Desires,L��VI,163580,1/7/22,22,0.793,125.026
Ready For Me - Robbie Rivera Remix,Pretty Fierce,176485,6/17/22,38,0.589,124.081
Have My Cake and Eat It Too,CAROLINE,130075,3/25/22,53,0.651,100.03
Secret Hideaway,Aubrey Whitfield,188025,2/11/22,27,0.61,120.017
I Just Can't Put the Work In,Zanoii,125280,4/1/22,22,0.799,125.038
Dejavu,Brod-Sky,174153,6/17/22,22,0.665,124.016
Illusion,KODYN,181463,6/24/22,32,0.599,122.894
Moonrise,Zanoii,154218,5/6/22,21,0.709,127.69
Summer Sky,LYCKEBORN,170000,2/11/22,28,0.665,99.95
The Ladder,Thomas Newson,158709,3/4/22,28,0.686,123.928
Touch Your Body,Mike Kelly,145726,7/16/21,23,0.72,111.952
If I Die Young,Slenderino,178560,12/3/21,38,0.641,125.083
Hit the Count,Lazy Panda,145161,9/10/21,23,0.74,123.972
One Before I Die,Jake Shepherd,199446,4/15/22,22,0.626,98.054
Heaven,PW Music,183362,6/3/22,21,0.753,115.991
Back Home,Just Liev,194000,7/1/22,21,0.631,119.981
Better Now,Janji Yusuf,168024,1/14/22,22,0.619,104.93
Cold Heart,Josh A,151347,2/25/22,51,0.779,90.016
LuLu Lemon (Club Remix),Master Yeti,149750,10/22/21,34,0.688,119.902
Don't Let Me Go,Mazzy,182857,4/1/22,22,0.795,125.982
Hunting Season,A!MS,133720,11/26/21,21,0.857,90.015
U Make Me Wanna,Westerlund,173333,7/22/22,52,0.706,90.06
Far from Home,Zanoii,185000,7/2/21,23,0.713,125.986
Catch me if you can,Son&Dad,81093,3/12/21,29,0.858,128.057
u wanna fight,Filip Nordin,113962,4/9/21,26,0.647,159.065
Out of My Head,Brod-Sky,175772,1/7/22,31,0.659,139.999
BREAK MY SOUL - will.i.am Remix,Beyonce,238731,7/26/22,61,0.797,114.952
