artist,followers,genres,popularity
Bruno Mars,43236735,"['dance pop', 'pop']",87
James Arthur,10293374,"['pop', 'talent show', 'uk pop']",80
The Chainsmokers,19465938,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",80
Maroon 5,37898474,['pop'],85
Hailee Steinfeld,8049727,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",72
Alessia Cara,10681442,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']",75
The Weeknd,49741428,"['canadian contemporary r&b', 'canadian pop', 'pop']",94
Dawin,222284,['nyc pop'],52
Major Lazer,6303906,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'tropical house']",74
Jonas Blue,3616468,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk pop']",75
Martin Garrix,15616078,"['dance pop', 'dutch edm', 'edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'tropical house']",76
Ariana Grande,83257020,"['dance pop', 'pop']",88
Shawn Mendes,39262820,"['canadian pop', 'dance pop', 'pop', 'viral pop']",84
Clean Bandit,4909566,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky', 'uk pop']",75
SUD,503400,"['opm', 'pinoy rock']",51
Charlie Puth,17503562,"['dance pop', 'pop', 'viral pop']",84
Steve Aoki,3691226,"['dance pop', 'edm', 'electro house', 'pop dance', 'tropical house']",74
Little Mix,10734359,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']",77
gnash,1583798,['pop'],64
Rae Sremmurd,6930578,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",72
Troye Sivan,7136011,"['australian pop', 'dance pop', 'pop', 'viral pop']",76
Drake,67059805,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",95
Daya,1422202,"['alt z', 'dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",70
Zay Hilfigerrr,62422,[],41
Silent Sanctuary,2684961,"['opm', 'pinoy rock']",61
Mike Perry,1395709,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'swedish tropical house', 'tropical house']",66
Ed Sheeran,102491340,"['dance pop', 'uk pop']",91
Moira Dela Torre,7594502,['opm'],70
Suzi,8411,[],43
Nevada,14754,['eurodance'],48
Calvin Harris,22837748,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",85
Daryl Ong,616391,['opm'],46
Zara Larsson,10361440,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house', 'uk pop']",76
Alok,11785924,"['electro house', 'pop nacional', 'slap house']",79
Yeng Constantino,2390089,['opm'],55
Justin Bieber,65805578,"['canadian pop', 'pop']",91
Michael Pangilinan,1504725,['opm'],52
Amin̩,1807546,"['hip hop', 'pop', 'portland hip hop', 'rap']",69
Mike Posner,1293185,"['dance pop', 'edm', 'pop']",70
Lukas Graham,1968968,"['danish pop', 'pop', 'scandipop']",71
State of Sound,45129,"['deep tropical house', 'swedish tropical house', 'tropical house']",40
John Legend,6266498,"['neo mellow', 'neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']",78
Juris,687872,['opm'],51
Moonstar88,874518,"['opm', 'pinoy rock', 'pop rock']",52
Adele,42378088,"['british soul', 'pop', 'pop soul', 'uk pop']",84
Krissy,14886,['opm'],34
Robin Schulz,2961840,"['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']",77
Coldplay,38548343,"['permanent wave', 'pop']",89
Alan Walker,35166948,['electro house'],80
DRAM,821873,"['pop rap', 'rap', 'underground hip hop', 'virginia hip hop']",62
Twenty One Pilots,22530674,"['modern rock', 'rock']",80
Sarah Geronimo,3242110,['opm'],56
Mark Carpio,156866,['opm'],49
MYMP,947435,['opm'],58
Petit Biscuit,922380,['tropical house'],63
South Border,874458,"['classic opm', 'opm']",55
James Reid,316218,"['deep neofolk', 'opm', 'pinoy r&b']",51
6cyclemind,1015613,"['opm', 'pinoy rock', 'pop rock']",51
Rihanna,50099829,"['rap']",87
AJR,2510755,['modern rock'],76
Sam Smith,20186357,"['dance pop', 'pop', 'uk pop']",84
Julie Anne San Jose,645527,['opm'],51
Howie Day,306785,"['acoustic pop', 'neo mellow', 'pop rock']",55
Piolo Pascual,213590,['opm'],43
Freestyle,219980,"['opm', 'pop rock']",57
Ryan Cabrera,80273,"['neo mellow', 'pop rock', 'post-teen pop']",47
One Direction,27377194,"['boy band', 'pop', 'post-teen pop', 'talent show']",84
Calum Scott,4517720,"['neo mellow', 'pop', 'uk pop']",78
Shakira,24983158,"['colombian pop', 'dance pop', 'latin pop']",85
Hearts & Colors,130468,"['australian pop', 'channel pop', 'neo mellow', 'pop rock', 'post-teen pop', 'uk pop', 'viral pop']",53
The Goo Goo Dolls,2325601,"['neo mellow', 'permanent wave', 'pop rock']",71
Bebe Rexha,7554474,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",82
The Script,7470050,"['celtic rock', 'neo mellow', 'pop', 'pop rock', 'uk pop']",73
R. Kelly,2464044,[],66
Noah Cyrus,1026374,"['pop', 'post-teen pop']",72
Migos,12543999,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",77
Extreme,462415,"['album rock', 'funk metal', 'glam metal', 'hard rock', 'rock']",62
G-Eazy,5095664,"['oakland hip hop', 'pop', 'pop rap', 'rap',]",75
Sitti,74010,['opm'],47
Vanessa Carlton,557195,"['lilith', 'neo mellow', 'piano rock', 'pop rock', 'post-teen pop']",63
Bailey May,58337,[],31
Nathan Sykes,472277,"['post-teen pop', 'uk pop']",57
Selena Gomez,37392376,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",82
Joel Adams,167939,"['australian pop', 'pop soul']",55
Lifehouse,1835803,"['alternative metal', 'neo mellow', 'pop rock', 'post-grunge']",64
The Calling,671379,"['neo mellow', 'pop rock']",61
Snakehips,344662,"['edm', 'electropop', 'pop', 'pop dance', 'tropical house']",63
MiC LOWRY,47886,[],38
Jason Mraz,6804659,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",72
Eraserheads,2793355,"['opm', 'pinoy reggae', 'pinoy rock']",63
Jericho Rosales,98834,['opm'],47
The Pussycat Dolls,5212253,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'uk pop', 'urban contemporary']",68
Ruth B.,2236808,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']",76
Angeline Quinto,553333,['opm'],53
Isaiah Firebrace,52828,"['australian pop', 'australian talent show']",50
Nause,195273,"['edm', 'pop dance', 'progressive electro house', 'swedish pop']",46
John Mayer,5632791,"['neo mellow', 'singer-songwriter']",77
Toni Gonzaga,703961,"['classic opm', 'opm', 'papuri']",51
Hale,804596,"['opm', 'pinoy reggae', 'pinoy rock', 'pop rock']",60
Flume,2306954,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm', 'indie']",72
R. City,128695,"['reggae fusion', 'virgin islands reggae']",62
Auli'i Cravalho,94474,"['disney', 'hollywood', 'movie tunes', 'show tunes']",63
James Hersey,51694,[],49
Adam Levine,963822,"['deep talent show', 'neo mellow']",72
Morissette,1070016,['opm'],54
Passenger,3033419,"['folk-pop', 'neo mellow']",71
Katy Perry,22517963,"['dance pop', 'pop']",83
Abra,23153,[],11
CHANYEOL,1697145,['k-pop'],59
James Blunt,2675940,"['neo mellow', 'pop', 'pop rock']",70
The Fray,3711091,"['neo mellow', 'piano rock', 'pop', 'pop rock']",69
Beyonce,32154178,"['dance pop', 'pop', 'r&b']",88
